,CoinName,0,1,class
3,Bitcoin,26.805586,-0.32782745,3
12,BitcoinDark,28.718582,3.7206717,3
13,PayCoin,24.360994,3.796789,3
22,ZetaCoin,26.024889,0.71098363,3
37,DevCoin,25.507915,-0.34784016,3
42,Exclusive Coin,14.069855,11.573514,3
53,IXcoin,26.622866,-0.5140015,3
62,MazaCoin,28.086365,4.0804896,3
66,Namecoin,26.950764,0.31152445,3
78,SysCoin,25.645908,0.3820412,3
80,TigerCoin,25.93121,0.6798974,3
83,TerraCoin,26.008785,-0.10429929,3
84,UnbreakableCoin,26.08366,-0.55713755,3
85,Unobtanium,26.256332,-0.5970126,3
95,JouleCoin,25.676504,0.42587134,3
103,Neutron,28.629284,4.0360785,3
124,SoonCoin,26.627424,0.6249198,3
130,Anarchists Prime,26.295317,0.10816462,3
140,Emercoin,27.977484,3.8033395,3
143,I0coin,26.112965,-0.56748164,3
147,EDRCoin,28.565422,3.49822,3
150,DubaiCoin,28.395433,3.4429865,3
151,CarpeDiemCoin,25.454397,-0.33416224,3
161,SwingCoin,28.700125,3.9292157,3
163,Nebuchadnezzar,14.358931,11.57985,3
167,Revenu,28.126934,4.111102,3
168,Clockcoin,28.437336,4.153009,3
183,BitTokens,28.690376,3.623003,3
184,ZayedCoin,26.946638,0.3162392,3
191,DollarCoin,26.676918,0.57982653,3
195,Opair,14.564772,11.851928,3
199,CoffeeCoin,13.892721,11.711301,3
201,GanjaCoin V2,60.595634,-20.788954,3
202,TeamUP,13.806549,11.957345,3
206,ARK,12.965144,-2.117383,3
212,FreeCoin,14.473292,12.219094,3
216,Creatio,13.875449,11.7362795,3
218,Eurocoin,28.390038,3.438824,3
235,Internet of People,28.439919,4.148574,3
256,Atmos,14.48936,11.690293,3
259,MacronCoin,14.201155,11.542838,3
264,ProCurrency,24.327084,3.8204455,3
268,ILCoin,25.611502,0.25119615,3
269,Phreak,13.840058,12.10238,3
272,Ultimate Secure Cash,24.360922,3.7968438,3
299,Bitcoin Cash,26.91948,-0.06894973,3
304,Stakecoin,14.534794,11.786071,3
324,Theresa May Coin,28.065157,3.613112,3
333,Infinity Economics,24.357637,3.7988887,3
339,Lamden Tau,12.965136,-2.1173909,3
365,UnitedBitcoin,26.616928,-0.51801574,3
400,Deviant Coin,14.484282,12.199874,3
402,Semux,23.272104,-1.4064022,3
405,Zealium,14.309888,12.315834,3
427,BitcoinWSpectrum,24.360737,3.7969217,3
428,Muse,13.114204,-1.6801263,3
447,Ketan,14.255339,12.329805,3
448,Project Pai,25.753708,-0.08330775,3
459,Bitcoin SV,26.92178,-0.05860257,3
481,BLAST,26.409187,0.71443945,3
483,GlobalToken,26.22444,0.7372136,3
485,ALAX,12.965043,-2.117628,3
493,NeosCoin,24.36099,3.7967918,3
498,IncaKoin,28.070074,3.506688,3
500,Crown Coin,26.31646,0.07363413,3
507,Radium,13.902378,12.206517,3
511,OKCash,27.998615,3.909971,3
512,Lisk,12.965144,-2.1173627,3
519,EOS,12.965006,-2.1177335,3
521,Oxycoin,12.9649935,-2.1177714,3
522,TigerCash,24.360584,3.7970402,3
524,Particl,14.032579,12.312076,3
526,Nxt,15.615998,12.151846,3
527,ZEPHYR,23.817223,-1.1204394,3
